iter	Passed	Remaining
328	1616	3296
329	1622	3293
330	1626	3287
331	1631	3281
332	1635	3275
333	1639	3270
334	1644	3264
335	1648	3257
336	1652	3251
337	1656	3245
338	1661	3238
339	1665	3232
340	1669	3225
341	1673	3219
342	1677	3213
343	1681	3207
344	1686	3201
345	1690	3194
346	1694	3188
347	1698	3182
348	1703	3176
349	1707	3171
350	1711	3165
351	1716	3160
352	1721	3154
353	1725	3148
354	1730	3143
355	1734	3137
356	1738	3131
357	1743	3125
358	1747	3119
359	1751	3113
360	1755	3107
361	1760	3103
362	1765	3097
363	1769	3091
364	1773	3085
365	1777	3078
366	1781	3073
367	1785	3067
368	1790	3061
369	1794	3055
370	1798	3049
371	1802	3043
372	1806	3037
373	1810	3030
374	1815	3025
375	1819	3018
376	1823	3013
377	1827	3007
378	1832	3002
379	1836	2996
380	1840	2990
381	1845	2985
382	1849	2979
383	1853	2973
384	1858	2968
385	1862	2963
386	1867	2958
387	1871	2952
388	1876	2946
389	1880	2941
390	1884	2935
391	1889	2930
392	1893	2924
393	1897	2918
394	1901	2912
395	1905	2907
396	1910	2901
397	1914	2895
398	1918	2889
399	1922	2883
400	1927	2878
401	1931	2872
402	1934	2865
403	1938	2859
404	1943	2854
405	1947	2849
406	1951	2844
407	1956	2838
408	1961	2834
409	1966	2829
410	1970	2823
411	1975	2818
412	1979	2813
413	1983	2807
414	1988	2803
415	1993	2798
416	1998	2793
417	2002	2788
418	2007	2783
419	2011	2778
420	2016	2772
